capital,A2
capital letter,A2
captain,A2
car park,A2
carrot,A2
cash,A2
cassette,A2
castle,A2
cent,A2
center/centre,A2
centimeter/centimetre,A2
century,A2
cereal,A2
certain,A2
certainly,A2
chain,A2
chairman,A2
challenge,A2
champagne,A2
championship,A2
chance,A2
chapter,A2
chart,A2
cheap,A2
cheek,A2
cheer,A2
chef,A2
chemical,A2
cheque,A2
chess,A2
chest,A2
childhood,A2
chili/chilli,A2
chimpanzee,A2
chin,A2
chirp,A2
choice,A2
cigarette,A2
citizen,A2
classic,A2
classical music,A2
cleaner,A2
clear,A2
clearly,A2
clerk,A2
climbing,A2
clone,A2
clown,A2
clue,A2
coast,A2
coin,A2
cola,A2
colorful/colourful,A2
column,A2
comb,A2
comfortable,A2
comic,A2
commitment,A2
committee,A2
common,A2
communicate,A2
communication,A2
company,A2
comparative,A2
compare,A2
competition,A2
complain,A2
complaint,A2
complete,A2
composer,A2
concentrate,A2
concern,A2
condition,A2
confident,A2
confuse,A2
confused,A2
consequence,A2
consider,A2
consist,A2
contact,A2
container,A2
context,A2
continent,A2
continue,A2
contrast,A2
control,A2
convenience,A2
convenient,A2
cooker,A2
cooking,A2
cooler,A2
correctly,A2
cost,A2
country,A2
countryside,A2
couple,A2
court,A2
crazy,A2
cream,A2
create,A2
creative,A2
creativity,A2
creature,A2
credit,A2
cricket,A2
crime,A2
crisp,A2
criticize/criticise,A2
cross,A2
crowd,A2
crowded,A2
crown,A2
cruise,A2
cupboard,A2
curry,A2
curse,A2
custom,A2
customer,A2
cycling,A2
daily,A2
dam,A2
dancer,A2
danger,A2
dangerous,A2
daylight,A2
dead,A2
deal,A2
death,A2
debate,A2
decide,A2
deeply,A2
degree,A2
delay,A2
dentist,A2
department store,A2
depend,A2
description,A2
desert,A2
dessert,A2
destroy,A2
detail,A2
develop,A2
developed,A2
diamond,A2
diary,A2
die,A2
diet,A2
differently,A2
difficulty,A2
digital camera,A2
dinosaur,A2
direct,A2
direction,A2
director,A2
disadvantage,A2
disagree,A2
disappear,A2
disappointed,A2
disappointing,A2
disco,A2
discover,A2
discussion,A2
dishonest,A2
dislike,A2
display,A2
disturb,A2
dizzy,A2
done,A2
double,A2
doubt,A2
downtown,A2
draw,A2
drawer,A2
